"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"425","UCL","2003-2004","viertelfinale","2nd (2nd leg)","AS Monaco","Real Madrid","3:1 (1:1)","2nd (2nd leg): 06/04/2004 19:45"
"426","UCL","2003-2004","viertelfinale","1st(1st leg)","Chelsea FC","Arsenal FC","1:1 (0:0)","1st(1st leg): 24/03/2004 19:45"
"427","UCL","2003-2004","viertelfinale","2nd (2nd leg)","Arsenal FC","Chelsea FC","1:2 (1:0)","2nd (2nd leg): 06/04/2004 19:45"
"428","UCL","2004-2005","viertelfinale","1st(1st leg)","Liverpool FC","Juventus","2:1 (2:0)","1st(1st leg): 05/04/2005 19:45"
"429","UCL","2004-2005","viertelfinale","2nd (2nd leg)","Juventus","Liverpool FC","0:0 (0:0)","2nd (2nd leg): 13/04/2005 19:45"
"430","UCL","2004-2005","viertelfinale","1st(1st leg)","Olympique Lyon","PSV Eindhoven","1:1 (1:0)","1st(1st leg): 05/04/2005 19:45"
"431","UCL","2004-2005","viertelfinale","2nd (2nd leg)","PSV Eindhoven","Olympique Lyon","4:2 (0:1, 1:1, 1:1) pso","2nd (2nd leg): 13/04/2005 19:45"
"432","UCL","2004-2005","viertelfinale","1st(1st leg)","AC Milan","Inter","2:0 (1:0)","1st(1st leg): 06/04/2005 19:45"
"433","UCL","2004-2005","viertelfinale","2nd (2nd leg)","Inter","AC Milan","0:3 (0:1) dec.","2nd (2nd leg): 12/04/2005 19:45"
"434","UCL","2004-2005","viertelfinale","1st(1st leg)","Chelsea FC","Bayern München","4:2 (1:0)","1st(1st leg): 06/04/2005 19:45"
"435","UCL","2004-2005","viertelfinale","2nd (2nd leg)","Bayern München","Chelsea FC","3:2 (0:1)","2nd (2nd leg): 12/04/2005 19:45"
"436","UCL","2005-2006","viertelfinale","1st(1st leg)","Arsenal FC","Juventus","2:0 (1:0)","1st(1st leg): 28/03/2006 19:45"
"437","UCL","2005-2006","viertelfinale","2nd (2nd leg)","Juventus","Arsenal FC","0:0 (0:0)","2nd (2nd leg): 05/04/2006 19:45"
"438","UCL","2005-2006","viertelfinale","1st(1st leg)","SL Benfica","FC Barcelona","0:0 (0:0)","1st(1st leg): 28/03/2006 19:45"
"439","UCL","2005-2006","viertelfinale","2nd (2nd leg)","FC Barcelona","SL Benfica","2:0 (1:0)","2nd (2nd leg): 05/04/2006 19:45"
"440","UCL","2005-2006","viertelfinale","1st(1st leg)","Olympique Lyon","AC Milan","0:0 (0:0)","1st(1st leg): 29/03/2006 19:45"
"441","UCL","2005-2006","viertelfinale","2nd (2nd leg)","AC Milan","Olympique Lyon","3:1 (1:1)","2nd (2nd leg): 04/04/2006 19:45"
"442","UCL","2005-2006","viertelfinale","1st(1st leg)","Inter","Villarreal CF","2:1 (1:1)","1st(1st leg): 29/03/2006 19:45"
"443","UCL","2005-2006","viertelfinale","2nd (2nd leg)","Villarreal CF","Inter","1:0 (0:0)","2nd (2nd leg): 04/04/2006 19:45"
"444","UCL","2006-2007","viertelfinale","1st(1st leg)","AC Milan","Bayern München","2:2 (1:0)","1st(1st leg): 03/04/2007 19:45"
"445","UCL","2006-2007","viertelfinale","2nd (2nd leg)","Bayern München","AC Milan","0:2 (0:2)","2nd (2nd leg): 11/04/2007 19:45"
"446","UCL","2006-2007","viertelfinale","1st(1st leg)","PSV Eindhoven","Liverpool FC","0:3 (0:1)","1st(1st leg): 03/04/2007 19:45"
"447","UCL","2006-2007","viertelfinale","2nd (2nd leg)","Liverpool FC","PSV Eindhoven","1:0 (0:0)","2nd (2nd leg): 11/04/2007 19:45"
"448","UCL","2006-2007","viertelfinale","1st(1st leg)","AS Roma","Manchester United","2:1 (1:0)","1st(1st leg): 04/04/2007 19:45"
"449","UCL","2006-2007","viertelfinale","2nd (2nd leg)","Manchester United","AS Roma","7:1 (4:0)","2nd (2nd leg): 10/04/2007 19:45"
"450","UCL","2006-2007","viertelfinale","1st(1st leg)","Chelsea FC","Valencia CF","1:1 (0:1)","1st(1st leg): 04/04/2007 19:45"
"451","UCL","2006-2007","viertelfinale","2nd (2nd leg)","Valencia CF","Chelsea FC","1:2 (1:0)","2nd (2nd leg): 10/04/2007 19:45"
"452","UCL","1994-1995","halbfinale","1st(1st leg)","Bayern München","AFC Ajax","0:0 (0:0)","1st(1st leg): 05/04/1995"
"453","UCL","1994-1995","halbfinale","2nd (2nd leg)","AFC Ajax","Bayern München","5:2 (3:1)","2nd (2nd leg): 19/04/1995"
"454","UCL","1994-1995","halbfinale","1st(1st leg)","Paris Saint-Germain","AC Milan","0:1 (0:0)","1st(1st leg): 05/04/1995"
"455","UCL","1994-1995","halbfinale","2nd (2nd leg)","AC Milan","Paris Saint-Germain","2:0 (1:0)","2nd (2nd leg): 19/04/1995"
"456","UCL","1995-1996","halbfinale","1st(1st leg)","AFC Ajax","Panathinaikos","0:1 (0:0)","1st(1st leg): 03/04/1996"
"457","UCL","1995-1996","halbfinale","2nd (2nd leg)","Panathinaikos","AFC Ajax","0:3 (0:1)","2nd (2nd leg): 17/04/1996"
