"","COMP","SEASON","ROUND","LEG","DATE","HOMETEAM","AWAYTEAM","FTHG","FTAG","HTHG","HTAG","ETHG","ETAG","PTHG","PTAG","LEG_ID","TYPE"
"76","UCL","2018-2019","R16","2",2019-03-06,"Paris Saint-Germain","Manchester United",1,3,1,2,NA,NA,NA,NA,38,"AGR"
"77","UCL","2009-2010","R8","1",2010-03-30,"Bayern München","Manchester United",2,1,0,1,NA,NA,NA,NA,39,"AGR"
"78","UCL","2009-2010","R8","2",2010-04-07,"Manchester United","Bayern München",3,2,3,1,NA,NA,NA,NA,39,"AGR"
"79","UCL","2012-2013","R8","1",2013-04-02,"Paris Saint-Germain","FC Barcelona",2,2,0,1,NA,NA,NA,NA,40,"AGR"
"80","UCL","2012-2013","R8","2",2013-04-10,"FC Barcelona","Paris Saint-Germain",1,1,0,0,NA,NA,NA,NA,40,"AGR"
"81","UCL","2013-2014","R8","1",2014-04-02,"Paris Saint-Germain","Chelsea FC",3,1,1,1,NA,NA,NA,NA,41,"AGR"
"82","UCL","2013-2014","R8","2",2014-04-08,"Chelsea FC","Paris Saint-Germain",2,0,1,0,NA,NA,NA,NA,41,"AGR"
"83","UCL","2017-2018","R8","1",2018-04-04,"FC Barcelona","AS Roma",4,1,1,0,NA,NA,NA,NA,42,"AGR"
"84","UCL","2017-2018","R8","2",2018-04-10,"AS Roma","FC Barcelona",3,0,1,0,NA,NA,NA,NA,42,"AGR"
"85","UCL","2018-2019","R8","1",2019-04-09,"Tottenham Hotspur","Manchester City",1,0,0,0,NA,NA,NA,NA,43,"AGR"
"86","UCL","2018-2019","R8","2",2019-04-17,"Manchester City","Tottenham Hotspur",4,3,3,2,NA,NA,NA,NA,43,"AGR"
"87","UCL","2008-2009","R4","1",2009-04-28,"FC Barcelona","Chelsea FC",0,0,0,0,NA,NA,NA,NA,44,"AGR"
"88","UCL","2008-2009","R4","2",2009-05-06,"Chelsea FC","FC Barcelona",1,1,1,0,NA,NA,NA,NA,44,"AGR"
"89","UCL","2015-2016","R4","1",2016-04-27,"Atlético Madrid","Bayern München",1,0,1,0,NA,NA,NA,NA,45,"AGR"
"90","UCL","2015-2016","R4","2",2016-05-03,"Bayern München","Atlético Madrid",2,1,1,0,NA,NA,NA,NA,45,"AGR"
"91","UCL","2018-2019","R4","1",2019-04-30,"Tottenham Hotspur","AFC Ajax",0,1,0,1,NA,NA,NA,NA,46,"AGR"
"92","UCL","2018-2019","R4","2",2019-05-08,"AFC Ajax","Tottenham Hotspur",2,3,2,0,NA,NA,NA,NA,46,"AGR"
"93","UCL","1995-1996","RF","F",1996-05-22,"Juventus","AFC Ajax",1,1,1,1,0,0,4,2,47,"F"
"94","UCL","2000-2001","RF","F",2001-05-23,"Bayern München","Valencia CF",1,1,0,1,0,0,5,4,47,"F"
"95","UCL","2002-2003","RF","F",2003-05-28,"Juventus","AC Milan",0,0,0,0,0,0,2,3,47,"F"
"96","UCL","2004-2005","RF","F",2005-05-25,"Liverpool FC","AC Milan",3,3,0,3,0,0,3,2,47,"F"
"97","UCL","1995-1996","RF","F",1996-05-22,"Juventus","AFC Ajax",1,1,1,1,0,0,4,2,47,"F"
"98","UCL","2000-2001","RF","F",2001-05-23,"Bayern München","Valencia CF",1,1,0,1,0,0,5,4,47,"F"
"99","UCL","2002-2003","RF","F",2003-05-28,"Juventus","AC Milan",0,0,0,0,0,0,2,3,47,"F"
"100","UCL","2004-2005","RF","F",2005-05-25,"Liverpool FC","AC Milan",3,3,0,3,0,0,3,2,47,"F"
"101","UCL","2007-2008","RF","F",2008-05-21,"Manchester United","Chelsea FC",1,1,1,1,0,0,6,5,47,"F"
"102","UCL","2011-2012","RF","F",2012-05-19,"Bayern München","Chelsea FC",1,1,0,0,0,0,3,4,47,"F"
"103","UCL","2013-2014","RF","F",2014-05-24,"Real Madrid","Atlético Madrid",1,1,0,1,3,3,NA,NA,47,"F"
"104","UCL","2015-2016","RF","F",2016-05-28,"Real Madrid","Atlético Madrid",1,1,1,0,0,0,5,3,47,"F"
