"","COMP","SEASON","ROUND","TEAM1","TEAM2","WINNER","L1D","L2D","TYPE","LEG_ID","T1G","T2G","G1_ID","G2_ID"
"51","UCL","1995-1996","R8","Legia Warszawa","Panathinaikos","Panathinaikos",1996-03-05,1996-03-20,"G","G5",0,3,109,110
"52","UCL","1995-1996","R8","FC Nantes","Spartak Moskva","FC Nantes",1996-03-05,1996-03-20,"G","G6",4,2,111,112
"53","UCL","1995-1996","R8","Real Madrid","Juventus","Juventus",1996-03-05,1996-03-20,"G","G7",1,2,113,114
"54","UCL","1996-1997","R8","Manchester United","FC Porto","Manchester United",1997-03-05,1997-03-19,"G","G8",4,0,115,116
"55","UCL","1996-1997","R8","Rosenborg BK","Juventus","Juventus",1997-03-05,1997-03-19,"G","G9",1,3,117,118
"56","UCL","1996-1997","R8","Borussia Dortmund","AJ Auxerre","Borussia Dortmund",1997-03-05,1997-03-19,"G","G10",4,1,119,120
"57","UCL","1997-1998","R8","Bayer Leverkusen","Real Madrid","Real Madrid",1998-03-04,1998-03-18,"G","G11",1,4,121,122
"58","UCL","1997-1998","R8","Juventus","Dinamo Kiev","Juventus",1998-03-04,1998-03-18,"G","G12",5,2,123,124
"59","UCL","1998-1999","R8","Bayern München","1. FC Kaiserslautern","Bayern München",1999-03-03,1999-03-17,"G","G13",6,0,125,126
"60","UCL","1998-1999","R8","Juventus","Olympiakos Piräus","Juventus",1999-03-03,1999-03-17,"G","G14",3,2,127,128
"61","UCL","1998-1999","R8","Manchester United","Inter","Manchester United",1999-03-03,1999-03-17,"G","G15",3,1,129,130
"62","UCL","1998-1999","R8","Real Madrid","Dinamo Kiev","Dinamo Kiev",1999-03-03,1999-03-17,"G","G16",1,3,131,132
"63","UCL","1999-2000","R8","FC Porto","Bayern München","Bayern München",2000-04-04,2000-04-19,"G","G17",2,3,133,134
"64","UCL","1999-2000","R8","Real Madrid","Manchester United","Real Madrid",2000-04-04,2000-04-19,"G","G18",3,2,135,136
"65","UCL","1999-2000","R8","Valencia CF","Lazio Roma","Valencia CF",2000-04-05,2000-04-18,"G","G19",5,3,137,138
